                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.63079,                0.91371,                 1.1879,                0.96124,                0.95269,                0.97979,                 0.4119,                 1.6026,                 4.1171,                 3.8933,             0.00033298,             0.00033298,             0.00033298
                      2,                0.49287,                0.42902,                 1.1167,                0.96782,                0.96572,                 0.9821,                0.42446,                  1.589,                 4.7564,                 3.9861,             0.00063333,             0.00063333,             0.00063333
                      3,                 0.4751,                0.39834,                  1.105,                0.97591,                 0.9789,                0.98568,                0.41775,                 1.6071,                 4.6954,                 4.0596,             0.00090068,             0.00090068,             0.00090068
                      4,                0.45688,                0.37289,                 1.0962,                0.98029,                0.97807,                 0.9861,                0.43003,                 1.6123,                 4.7481,                 4.1744,              0.0008515,              0.0008515,              0.0008515
                      5,                0.44395,                0.35808,                 1.0893,                0.97839,                0.97834,                0.98641,                0.43498,                 1.6017,                  4.762,                 4.2094,              0.0008515,              0.0008515,              0.0008515
                      6,                0.43133,                0.34265,                 1.0817,                0.97982,                0.98201,                0.98647,                0.45863,                 1.6075,                 4.9669,                 4.3185,               0.000802,               0.000802,               0.000802
                      7,                0.41807,                0.32986,                 1.0789,                0.98219,                0.98351,                0.98718,                0.45724,                 1.6015,                  5.044,                 4.3064,              0.0007525,              0.0007525,              0.0007525
                      8,                0.41074,                0.32177,                 1.0747,                0.98213,                0.98379,                0.98656,                0.44823,                 1.6005,                  5.001,                 4.3924,               0.000703,               0.000703,               0.000703
                      9,                0.40046,                0.31152,                 1.0706,                 0.9831,                0.98583,                0.98767,                0.46683,                 1.5986,                 4.9652,                 4.3826,              0.0006535,              0.0006535,              0.0006535
                     10,                0.39159,                0.30403,                 1.0665,                0.98288,                0.98608,                0.98652,                0.47251,                 1.5987,                 5.0976,                 4.4016,               0.000604,               0.000604,               0.000604
                     11,                0.32062,                0.24583,                 1.0224,                0.98246,                0.98562,                0.98675,                0.45867,                 1.5996,                 5.0611,                 4.4789,              0.0005545,              0.0005545,              0.0005545
                     12,                0.31477,                0.23847,                 1.0194,                0.98351,                0.98517,                0.98651,                0.45687,                 1.6009,                 5.1349,                 4.5453,               0.000505,               0.000505,               0.000505
                     13,                0.30828,                0.23427,                 1.0167,                0.98423,                0.98556,                0.98732,                0.45614,                 1.6054,                 5.1878,                 4.5484,              0.0004555,              0.0004555,              0.0004555
                     14,                0.30114,                0.22632,                 1.0138,                0.98466,                0.98759,                0.98726,                0.46812,                 1.5989,                 5.3218,                 4.5955,               0.000406,               0.000406,               0.000406
                     15,                0.29439,                0.22143,                 1.0106,                0.98485,                0.98777,                0.98709,                0.46689,                 1.6007,                 5.3967,                 4.6141,              0.0003565,              0.0003565,              0.0003565
                     16,                0.28824,                0.21557,                 1.0077,                0.98552,                0.98812,                0.98739,                0.46737,                 1.5951,                 5.4263,                 4.6407,               0.000307,               0.000307,               0.000307
                     17,                0.28169,                 0.2104,                 1.0057,                0.98603,                0.98836,                0.98721,                0.46249,                 1.5986,                 5.4439,                 4.6413,              0.0002575,              0.0002575,              0.0002575
                     18,                0.27546,                0.20397,                 1.0018,                0.98483,                0.98967,                0.98692,                0.47777,                 1.5976,                 5.5139,                 4.6798,               0.000208,               0.000208,               0.000208
                     19,                0.26949,                0.20005,                 0.9993,                0.98582,                0.98927,                0.98748,                0.47459,                 1.5985,                 5.5323,                 4.6923,              0.0001585,              0.0001585,              0.0001585
                     20,                0.26403,                0.19549,                0.99619,                0.98592,                0.98983,                0.98692,                0.47265,                 1.5995,                 5.5992,                 4.7813,               0.000109,               0.000109,               0.000109
